Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_PUMA5,Geo_PUMA1,SE_T001_001,SE_T002_001,SE_T002_002,SE_T002_003,SE_T004_001,SE_T004_002,SE_T004_003,SE_T007_001,SE_T007_002,SE_T007_003,SE_T007_004,SE_T007_005,SE_T007_006,SE_T007_007,SE_T007_008,SE_T007_009,SE_T007_010,SE_T007_011,SE_T007_012,SE_T007_013,SE_T013_001,SE_T013_002,SE_T013_003,SE_T013_004,SE_T013_005,SE_T013_006,SE_T013_007,SE_T013_008,SE_T017_001,SE_T017_002,SE_T017_003,SE_T017_004,SE_T017_005,SE_T017_006,SE_T017_007,SE_T017_008,SE_T017_009,SE_T057_001,SE_T093_001,SE_T094_001,SE_T094_002,SE_T094_003,SE_T118_001,SE_T118_002,SE_T118_003,SE_T118_004,SE_T118_005
"46","04000US46","South Dakota","South Dakota","sd","040","00","ACSSF","0000001",,,,,"46",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,844877,844877,11.1445175758782,75810.9980308789,844877,424160,420717,844877,58617,61782,55667,32415,85437,110717,96760,109277,109702,64666,40746,19091,844877,719112,13001,71981,9105,420,6721,24537,331406,213838,166793,47045,15340,31705,117568,58194,59374,48947,370207,331406,222809,108597,815049,115454,156581,272035,543014
"47","04000US47","Tennessee","Tennessee","tn","040","00","ACSSF","0000001",,,,,"47",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6495978,6495978,157.535941105779,41234.8950620621,6495978,3174148,3321830,6495978,397208,420886,422756,251231,633862,842934,846939,895569,834403,561481,284291,104418,6495978,5060129,1102455,16101,98746,2990,92334,123223,2490249,1658071,1208430,449641,116605,333036,832178,378068,454110,44297,2840998,2490249,1652976,837273,6335295,1126772,1351022,2477794,3857501
"48","04000US48","Texas","Texas","tx","040","00","ACSSF","0000001",,,,,"48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26448193,26448193,101.244192667911,261231.704288977,26448193,13145494,13302699,26448193,1926498,2005798,1968632,1139990,2733619,3804859,3590709,3440186,2871375,1744740,884993,336794,26448193,19840367,3142866,118862,1089907,19892,1589415,646884,9110853,6322542,4552753,1769789,460617,1309172,2788311,1342546,1445765,51704,10256203,9110853,5634317,3476536,25834229,4530039,5436833,9966872,15867357
"49","04000US49","Utah","Utah","ut","040","00","ACSSF","0000001",,,,,"49",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2900872,2900872,35.3034613308796,82169.619936463,2900872,1458758,1442114,2900872,253409,255877,250050,137495,333592,439707,373367,304801,269894,163236,85314,34130,2900872,2534534,32754,33325,62671,27513,139605,70470,899475,677332,551975,125357,38848,86509,222143,108936,113207,59770,1006164,899475,622572,276903,2851587,361181,564452,925633,1925954
"50","04000US50","Vermont","Vermont","vt","040","00","ACSSF","0000001",,,,,"50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,626630,626630,67.9888589778673,9216.65710265839,626630,308672,317958,626630,30306,35599,34774,23451,66326,70428,72690,95060,95338,59880,29852,12926,626630,595148,7184,1579,7640,222,1633,13224,253234,155933,123176,32757,9699,23058,97301,43760,53541,52578,323936,253234,179791,73443,602538,74058,106677,180735,421803
"51","04000US51","Virginia","Virginia","va","040","00","ACSSF","0000001",,,,,"51",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8260405,8260405,209.176678623145,39490.0858660349,8260405,4060533,4199872,8260405,509604,523654,519180,311893,834850,1152347,1098291,1183017,1022760,651180,319237,134392,8260405,5726886,1592426,19615,484497,5808,162662,268511,3055863,2049184,1530934,518250,132734,385516,1006679,464119,542560,62666,3412577,3055863,2005192,1050671,8010544,938733,1259394,2198127,5812417
"53","04000US53","Washington","Washington","wa","040","00","ACSSF","0000001",,,,,"53",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6971406,6971406,104.90334003704,66455.5198865786,6971406,3475830,3495576,6971406,442110,442841,446472,264761,669118,992349,919683,946219,897087,556824,270359,123583,6971406,5439705,259337,95193,536093,42335,255584,343159,2644557,1705112,1309075,396037,123287,272750,939445,448277,491168,58405,2928300,2644557,1638028,1006529,6836262,967282,1155405,2122687,4713575
"54","04000US54","West Virginia","West Virginia","wv","040","00","ACSSF","0000001",,,,,"54",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1854304,1854304,77.1398532562478,24038.2101044484,1854304,916834,937470,1854304,102836,102684,111155,65582,178022,213278,233256,254645,272833,183271,97898,38844,1854304,1737683,62788,1842,10455,1547,6070,33919,738653,479389,355958,123431,36884,86547,259264,120942,138322,41253,879424,738653,534266,204387,1798266,332347,379928,712275,1085991
"55","04000US55","Wisconsin","Wisconsin","wi","040","00","ACSSF","0000001",,,,,"55",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5742713,5742713,106.036667835766,54157.8033071968,5742713,2855502,2887211,5742713,341440,363350,376100,225032,557500,733172,696351,832482,768679,462197,259975,126435,5742713,4972949,357899,49653,142590,1512,96937,121173,2289424,1458482,1124707,333775,100615,233160,830942,391226,439716,51467,2633420,2289424,1537926,751498,5593197,755551,990040,1745591,3847606
"56","04000US56","Wyoming","Wyoming","wy","040","00","ACSSF","0000001",,,,,"56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,582658,582658,6.00102123304076,97093.1408794172,582658,297497,285161,582658,38379,41581,38397,21418,58969,81598,70178,74575,80009,46578,20734,10242,582658,528303,7435,13675,5729,185,11349,15982,224003,148556,118017,30539,10300,20239,75447,37186,38261,58752,265471,224003,154699,69304,569307,62039,94794,156833,412474
